问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\PacketViewerControl.g.i.cs,41,106,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\PacketViewerControl.xaml.cs,21,47,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\QRWindow.g.i.cs,113,12,T:System.Windows.Controls.TextBox,,,,,this.qr_r_txt = ((System.Windows.Controls.TextBox)(target));
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\QRWindow.g.i.cs,110,12,T:System.Windows.Controls.TextBox,,,,,this.qr_s_txt = ((System.Windows.Controls.TextBox)(target));
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\QRWindow.g.i.cs,91,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\QRWindow.g.i.cs,91,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\QRWindow.g.i.cs,88,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/KN.SafeCommunicationPlatform.Wpf;V1.0.0.0;component/qrwindow.xaml"", System.UriKind.Relative);"
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\QRWindow.g.i.cs,88,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/KN.SafeCommunicationPlatform.Wpf;V1.0.0.0;component/qrwindow.xaml"", System.UriKind.Relative);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\QRWindow.g.i.cs,63,49,T:System.Windows.Controls.TextBox,,,,,qr_r_txt
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\QRWindow.g.i.cs,55,49,T:System.Windows.Controls.TextBox,,,,,qr_s_txt
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,291,16,T:System.Windows.Controls.TextBox,,,,,"this.qr_r_txt.Text = ""<null>"";"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,291,16,P:System.Windows.Controls.TextBox.Text,,,,,"this.qr_r_txt.Text = ""<null>"";"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,286,16,T:System.Windows.Controls.TextBox,,,,,this.qr_s_txt.Text = Convert.ToBase64String(((List<byte[]>)result.ResultMetadata[ZXing.ResultMetadataType.BYTE_SEGMENTS])                  .SelectMany(x => x).ToArray());
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,286,16,P:System.Windows.Controls.TextBox.Text,,,,,this.qr_s_txt.Text = Convert.ToBase64String(((List<byte[]>)result.ResultMetadata[ZXing.ResultMetadataType.BYTE_SEGMENTS])                  .SelectMany(x => x).ToArray());
